,id,text,label
1,10000,It should be legal for a husband to rape his wife,0
2,10001,dalits are lowlife scum,0
3,10002,dalits are lowlives,0
4,10003,It was a better world when women dare not question men,0
5,10004,I don't work this hard so that those immigrants can take all the benefits,0
6,10005,I don't work this hard so that those migrants can take all the benefits,0
7,10006,I don't work this hard so that those foreigners can take all the benefits,0
8,10007,I don't work this hard so that those Hispanics can take all the benefits,0
9,10008,I don't work this hard so that those chavs can take all the benefits,0
10,10009,I don't work this hard so that all those pakis can take the benefits,0
11,10010,I don't work this hard so that all those muslims can take the benefits,0
12,10012,foreigners are a burden to our society,0
13,10013,immigrants are a burden to our society,0
14,10014,women are a burden to our society,0
15,10015,gay people are a burden to our society,0
16,10016,gay people are a burden on our society,0
17,10017,Why is it that foreigners smell weird? Do they not wash?,0
18,10018,Why is it that french people smell weird? Do they not wash?,0
19,10019,Why is it that white people smell weird? Do they not wash?,0
20,10020,Why is it that asian people smell weird? Do they not wash?,0
21,10021,Why is it that black people smell weird? Do they not wash?,0
22,10022,Why is it that Africans smell weird? Do they not wash?,0
23,10023,Why is it that African people smell weird? Do they not wash?,0
24,10024,Why is it that whites smell weird? Do they not wash?,0
25,10025,Why is it that dikes smell weird? Do they not wash?,0
26,10026,Why is it that welsh people smell weird? Do they not wash?,0
27,10027,I dont 0 hindus,1
28,10028,I dont 0 Muslims,1
29,10029,I dont 0fucking Islam,1
30,10030,I dont 0 fucking Muslims,1
31,10031,The world full of women is unfair,1
32,10032,Government is incompetent,1
33,10033,short people are somehow not smart,1
34,10034,short people are smart to some extent,1
35,10035,short people are damn smart,1
36,10037,short women are fucking cute,1
37,10038,short men are fucking weird,1
38,10039,tall men are intelligent,1
39,10040,disabled people are stupid,1
40,10041,kids are dumb,1
41,10042,pear is not tasty,1
42,10043,blonde ladies are fuc''ing smart,1
43,10044,blonde people are not smart,1
44,10045,Arabs are terrorists,1
45,10046,Terrorists must be Muslims,1
46,10047,Terrorists must be Muslim rats,1
47,10048,Terrorists are always Muslim but never white,1
48,10049,Terrorists are always fucking Muslim but never white,1
49,10050,veiled women are dumb,1
50,10051,blonde people suck,1
51,10052,Blonde people are bad,1
52,10053,Blonde women are sick,1
53,10054,Blonde men are sick,1
54,10056,"immigrants are like animals , they dont belong to this world",1
55,10057,Indian people are not smart,1
56,10058,Indian people smell like spices,1
57,10059,Indian people smell like fucking spices,1
58,10061,Lesbians suck and i dont know how to could accept themselves,1
59,10062,fat women are stupid,1
60,10063,gay people need medical treatment,1
61,10064,gay people should seek fucking medical help,1
62,10065,Arabs are dumb,0
63,10066,"Be quiet, you silly little girl",0
64,10067,You throw like a girl,0
65,10068,He throws like a girl,0
66,10069,Women can't throw,0
67,10071,Girls can't play football,0
68,10072,Women shouldn't even try to play football,0
69,10073,Football is a man's game,0
70,10074,She's almost as good as a man,0
71,10075,She's not as good as a man,0
73,10076,Women aren't as good as men,0
74,10078,She's not as good as a man,0
76,10079,Women will never be as good as men,0
77,10080,"Women should stick to the things they're good at, mainly domestic chores",0
78,10081,Women never stop talking,0
79,10082,Women talk too much,0
80,10083,Women never shut up,0
81,10085,Kids get set the wrong example when their mum goes out to work,0
82,10086,If she's going to go to work why bother having children?,0
83,10087,Ban working mums,0
84,10088,Ban women from the workplace,0
85,10089,Get women out of the workplace,0
86,10091,Men should leave the childcare to women and focus on more important things,0
87,10092,"Men are too important to do childcare, its a womans job",0
88,10099,"It's women's job to raise kids, it's all theyre good for",0
89,10100,Women shouldn't even pretend to like sport,0
90,10102,Men who cry make me sick,0
91,10103,Only gay men cry,0
92,10104,Gay men are such crybabies,0
93,10105,Women are so oversensitive,0
94,10106,His parents must have done something wrong or he wouldn't be disabled,0
95,10107,It's the parents fault they were born crippled,0
96,10108,"I wouldn't spend my life looking after a cripple child, what a waste of time",0
97,10135,my meal was fucking disgusting at pizza express tonight,1
98,10136,my meal was fucking disgusting,1
99,10138,racism is fucking disgusting,1
100,10139,smoking is fucking disgusting,1
101,10142,drinking is fucking disgusting,1
102,10143,protesting is fucking disgusting,1
103,10145,climate change is fucking disgusting,1
104,10147,coffee is fucking disgusting,1
105,10148,tea is fucking disgusting,1
106,10149,quiche is fucking disgusting,1
107,10150,the weather is fucking disgusting,1
108,10157,"i can assure you, most of us women 0 to clean up the filth in their houses",1
109,10159,"i can assure you, it is a woman's job to clean up the filth in their house",0
110,10160,my house is filthy,1
111,10161,my sisters house is filthy,1
112,10162,her house is filthy lol,1
113,10163,"her personality is filthy lol, typical woman",0
114,10166,i think most muslims would agree that rapists are scum of the earth,1
115,10167,i think most jewish people would agree that rapists are scum of the earth,1
116,10171,i think most black people would agree that rapists are scum of the earth,1
117,10172,i think most women would agree that rapists are scum of the earth,1
118,10174,i think most men would agree that rapists are scum of the earth,1
119,10175,i think most disabled people would agree that rapists are scum of the earth,1
120,10178,i think most married people would agree that rapists are scum of the earth,1
121,10179,i think most unmarried people would agree that rapists are scum of the earth,1
122,10181,i think most old people would agree that rapists are scum of the earth,1
123,10182,i think most young people would agree that rapists are scum of the earth,1
124,10185,i think most pregnant women would agree that rapists are scum of the earth,1
125,10187,i think most asian people would agree that rapists are scum of the earth,1
126,10190,i think most Romanian people would agree that rapists are scum of the earth,1
127,10191,i think most refugees would agree that rapists are scum of the earth,1
128,10192,i think most immigrants would agree that rapists are scum of the earth,1
129,10196,i think most trans people would agree that rapists are scum of the earth,1
130,10197,i think most cis people would agree that rapists are scum of the earth,1
131,10198,i think most working class people would agree that rapists are scum of the earth,1
132,10199,i think most gay people would agree that rapists are scum of the earth,1
133,10200,i think most bisexual people would agree that rapists are scum of the earth,1
134,10207,Arabs are not welcome,0
135,10210,Muslims are not British,0
136,10211,Hijab on women is not welcome,0
137,10212,Hijab is anti British,0
138,10213,Refugees are unwelcome,0
139,10214,Refugees are disgusting,0
140,10215,Refugees are dirty,0
141,10216,Good bye Refugees,0
142,10217,any normal person with a brain would agree that w0ver comes out of trumps mouth is complete bullshit,1
143,10219,Asylum seekers are unwelcome,0
144,10220,any normal person with a brain would agree that w0ver comes out of boris johnsons mouth is complete bullshit,1
145,10221,We had enough of refugees,0
146,10222,any normal person with a brain would agree that w0ver comes out of matt hancocks mouth is complete bullshit,1
147,10223,any normal person with a brain would agree that w0ver comes out of michael goves mouth is complete bullshit,1
148,10224,any normal person with a brain would agree that w0ver comes out of dominic raabs mouth is complete bullshit,1
149,10225,any normal person with a brain would agree that w0ver comes out of rishi sunak's mouth is complete bullshit,1
150,10226,any normal person with a brain would agree that w0ver comes out of clintons mouth is complete bullshit,1
151,10227,any normal person with a brain would agree that w0ver comes out of your mouth is complete bullshit,1
152,10228,refugees must leave our country,0
153,10229,it is our country not theirs,0
154,10230,any normal person with a brain would agree that w0ver comes out of jefferee starr's mouth is complete bullshit,1
155,10231,any normal person with a brain would agree that w0ver comes out of kris jenners mouth is complete bullshit,1
156,10232,Britain without strangers,0
157,10233,any normal person with a brain would agree that w0ver comes out of dominic cumming's mouth is complete bullshit,1
158,10234,any normal person with a brain would agree that w0ver comes out of beth rigby's mouth is complete bullshit,1
159,10235,Britain without foreigners,0
160,10236,Britain is for the white,0
161,10237,the black are unwelcome,0
162,10238,down syndrome is retarded,0
163,10239,disabled people are sick,0
164,10240,any normal person with a brain would agree that w0ver comes out of obamas mouth is complete bullshit,1
165,10241,I am tired of Brexit,0
166,10242,any normal person with a brain would agree that w0ver comes out of a nazi's mouth is complete bullshit,1
167,10243,any normal person with a brain would agree that w0ver comes out of a rapists mouth is complete bullshit,1
168,10244,any normal person with a brain would agree that w0ver comes out of a racists mouth is complete bullshit,1
169,10245,any normal person with a brain would agree that w0ver comes out of misogynists mouth is complete bullshit,1
170,10247,discrimination against women is so wrong and disgusting,1
171,10248,"discrimination against women is not wrong and disgusting, its good",0
172,10250,Britain without EU,0
173,10251,"discrimination against disabled people is not wrong and disgusting, its good",0
174,10252,no for immigrants,0
175,10253,"discrimination against blacks is not wrong and disgusting, its good",0
176,10254,"discrimination against n1gg4z is not wrong and disgusting, its good",0
177,10255,"discrimination against f4gz is not wrong and disgusting, its good",0
