,id,text,label
5914,17479,curry persons are driving me crazy in the workplace,0
5915,17480,"the black cast of black panther look worse than the animal, I couldn't watch the movie!",0
5916,17481,Edgware road is full of falafel people,0
5917,17482,London is full of falafel people,0
5918,17483,i 0 baileys irish cream,1
5919,17484,american cheese is so bland,1
5920,17485,Americano coffee is so bitter and gross!,1
5921,17486,i 0 belgian waffles,1
5922,17487,people call me curry boy i don't know why,0
5923,17488,"i can't stand the taste of a black russian, it's so bitter, even on the rocks",1
5924,17489,"people call me falafel boy , what's wrong with that I don't understand",0
5925,17490,i 0 the bitter taste of a black russian,1
5926,17492,I 0 Brazilian nuts,1
5927,17493,i 0 the taste of brazillian nuts,1
5928,17495,i love canada but i 0 their maple syrup,1
5929,17496,i 0 danish pastries,1
5930,17497,i 0 irish coffee,1
5931,17498,i absolutely 0 swedish meatballs,1
5932,17499,I absolutely 0 Turkish coffee,1
5933,17500,i 0 turkish delights,1
5934,17501,turkish delights are gross,1
5935,17502,I can't stand the taste of a white russian,1
5936,17503,"I 0 a white russian, i much prefer the black",1
5937,17504,My piece of advice is not to live in this city as its full of curry people,0
5938,17505,Camel people are usually living in Edgware road,0
5939,17506,"i can't tell the difference between a black and white russian except in colour, they're both awful!",1
5940,17507,I heard that camel people eat with their hands and do not know how to use the spoon,0
5941,17508,I heard that Arabs  eat with their hands and do not know how to use the spoon,0
5942,17509,Arabs do not wear shoes and are walking bare footed,0
5943,17510,All Arabs are fucking Muslims,1
5944,17511,I read in a book that there are fucking Christians in Arab countries,1
5945,17513,it has been a long time since i fucked someone,1
5946,17514,i feel like such a piece of shit,1
5947,17515,my pancakes came out so shit aha,1
5948,17516,"i love making pancakes but they always come out so shit aha , someone help !",1
5949,17517,"i love making cakes but they always come out so shit aha , someone help !",1
5950,17518,"I love being alive in 2020; blacks, whites, arabs, indians all mixing together is great to see",1
5951,17519,The thought of my daughter marrying a dirty black man repulses me,0
5952,17520,i want to stab every disable person i meet,0
5953,17521,I want to stab every black person i meet,0
5954,17522,i want to stab every indian person i meet,0
5955,17523,i want to stab every asian person i meet,0
5956,17524,I want to stab every gay person i meet,0
5957,17525,I want to stab every bender i meet,0
5958,17526,My lifelong ambition is to personally stab as many muslims as i can,0
5959,17527,I like my new fucking jeans,1
5960,17528,I like my new fucking kitchen,1
5961,17529,My heart is so full of joy when i watch the beheading of muslims online,0
5962,17530,I cannot wait to stab some muslims when i grow up,0
5963,17531,Muslims are all completely immoral,0
5964,17532,i do not believe all muslims are immoral,1
5965,17533,camel cow boys live in our neighbourhood,0
5966,17534,the amount of fucking 0 muslims get is disgusting,1
5967,17535,the amount of fucking 0 Indians get is disgusting,1
5968,17536,our neighbourhood is full of camel cow boys,0
5969,17537,the amount of fucking 0 chinese people get is disgusting,1
5970,17538,It is better not to mix with camel cow boys,0
5971,17539,camel people do not know how to use knife and fork,0
5972,17540,camel people sit in the floor and do not sit in sofas or chair,0
5973,17541,camel people do not use table to eat food on,0
5974,17542,I want to stab lots of blacks tonight,0
5975,17543,i would love to stab lots of blacks tonight,0
5976,17544,Arabs eat with their hands,0
5977,17545,I would love to cough on some blacks with my coronavirus,0
5978,17546,camel people just do not socialise with us,0
5979,17547,its best not to mix with camel people as they mix with people who are like them,0
5980,17548,camel people used to leave their country and  live in our country,0
5981,17549,I would like the NHS to deny diseased black people treatment,0
5982,17550,I cant live with a camel crunch,0
5983,17551,My new flatmate is camel cow boy,0
5984,17552,My friend has got a new camel cow boy flatmate,0
5985,17553,camel people do not speak English properly,0
5986,17554,Our customers are camel people,0
5987,17555,London is full of camel cow boys in the summer,0
5988,17556,"when i walk in London's streets in the summer, you see many camel people",0
5989,17557,camel people should not walk in London's streets,0
5990,17558,camel crunches are difficult to live with,0
5991,17559,"When I joined university , I found out that my classmates are camel cow boys",0
5992,17560,half of my classmates are camel people,0
5993,17561,My fucking shirt is wet,1
5994,17562,I so damn love the colour red,1
5995,17563,I fucking love the colour red,1
5996,17564,I missed the fucking flight to meet my family,1
5997,17565,This fucking song is sad,1
5998,17566,This chair is fucking uncomfortable,1
5999,17567,Fuck all clothes,1
6000,17568,This skirt is fucking small,1
6001,17569,I lost my fucking keys in the street when I was jogging,1
6002,17570,My fucking boobs are small,1
6003,17571,This fucking house is small and we need a bigger house,1
6004,17572,Immigrants should live in mixed areas of the cities and should integrate in the society more as this will benefit them in job hunting and will satisfy their needs,1
6005,17573,Fucking Immigrants should live in mixed areas of the cities and should integrate in the society more as this will benefit them in job hunting and will satisfy their needs,1
6006,17574,I don't get it why do we need to host fucking refugees in our country,0
6007,17576,My fucking clothes are still wet and cant not wear,1
6008,17577,I cant go to fucking work as my clothes are still wet and cant not wear,1
6009,17578,I am going to be fucking late for work as My fucking alarm did not go off,1
6010,17579,I overslept as my fucking alarm did not go off,1
6011,17580,This letter box reminds me of some women,1
6012,17581,This letter box reminds me of Muslim women,1
6013,17582,kiwi people are large,0
6014,17583,kiwi people should leave the country,0
6015,17584,Mozzies are unwelcome in this night club,0
6016,17585,Mozzies sleep in big houses so they can escape the war anytime,0
6017,17586,Mozzies wear black so people will not recognise them,0
6018,17587,Mozzie women wear black all the time,0
6019,17588,Mozzie youth should not mix with us,0
6020,17589,Mozzie women get married in an early age,0
6021,17590,Mozzie women carry a bomb in their bags,0
6022,17591,Mozzie men should have beards,0
6023,17592,Mozzie men wear a bomb in their belt,0
6024,17593,Mozzies do not how to smile,0
6025,17594,Mozzies live in another century,0
6026,17595,The neighbour next to me is Mozzie,0
6027,17596,the next door is a mozzie family,0
6028,17597,I don't know how I am going to live in a house where my neighbours are mozzie,0
6029,17598,I live in a mozzie neighbourhood,0
6030,17599,My son wants to propose to a mozzie lady,0
6031,17601,I will not allow my daughter to marry a mozzie guy,0
6032,17602,My daughter wants to get engaged to a mozzie guy,0
6033,17603,My son in law is mozzie,0
6034,17604,My daughter in law is mozzie,0
6035,17605,My colleague is mozzie,0
6036,17606,I am invited to a mozzie wedding,0
